targetWord,age_group,pc,num_subjects
prune,7,0.6666666666666666,15
prune,8,0.5952380952380952,42
prune,9,0.68,74
prune,10,0.7301587301587301,63
prune,11,0.7272727272727273,22
prune,25,0.8484848484848485,66
puddle,3,1,3
puddle,4,0.5,4
puddle,5,1,3
puddle,6,0.6,5
puddle,7,0.9090909090909091,11
puddle,8,0.8913043478260869,46
puddle,9,0.8933333333333333,74
puddle,10,0.9215686274509803,51
puddle,11,0.8888888888888888,18
puddle,25,0.984375,64
pump,3,1,6
pump,4,1,2
pump,5,1,4
pump,6,1,4
pump,7,0.9230769230769231,13
pump,8,0.813953488372093,43
pump,9,0.8928571428571429,56
pump,10,0.9090909090909091,44
pump,11,0.8928571428571429,27
pump,25,1,73
rice,3,1,3
rice,4,1,3
rice,5,1,4
rice,6,0.75,4
rice,7,0.8666666666666667,15
rice,8,0.9555555555555556,45
rice,9,0.9491525423728814,59
rice,10,1,47
rice,11,0.9629629629629629,27
rice,25,1,59
saddle,3,0.5,6
saddle,4,1,3
saddle,5,0.6,5
saddle,6,1,3
saddle,7,0.8,15
saddle,8,0.7272727272727273,44
saddle,9,0.8333333333333334,54
saddle,10,0.8888888888888888,45
saddle,11,0.8620689655172413,29
saddle,25,0.9868421052631579,76
sandbag,3,0.5,4
sandbag,4,1,2
sandbag,5,0.8333333333333334,6
sandbag,6,1,4
sandbag,7,0.6923076923076923,13
sandbag,8,0.82,50
sandbag,9,0.8166666666666667,59
sandbag,10,0.8292682926829268,41
sandbag,11,0.8,30
sandbag,25,0.9402985074626866,67
sauerkraut,3,0.3333333333333333,6
sauerkraut,4,0.5,2
sauerkraut,5,0.3333333333333333,3
sauerkraut,6,1,2
sauerkraut,7,0.5555555555555556,9
sauerkraut,8,0.5135135135135135,37
sauerkraut,9,0.5178571428571429,56
sauerkraut,10,0.5116279069767442,43
sauerkraut,11,0.625,32
sauerkraut,25,0.9154929577464789,71
scaffolding,3,0.14285714285714285,7
scaffolding,4,0,3
scaffolding,5,0.25,4
scaffolding,6,0.5,2
scaffolding,7,0.4,10
scaffolding,8,0.5714285714285714,35
scaffolding,9,0.625,48
scaffolding,10,0.6949152542372882,59
scaffolding,11,0.6896551724137931,29
scaffolding,25,0.984375,64
scoop,3,0.6666666666666666,3
scoop,4,1,1
scoop,5,0.6666666666666666,3
scoop,6,1,5
scoop,7,0.8333333333333334,12
scoop,8,0.7894736842105263,38
scoop,9,0.819672131147541,61
scoop,10,0.8518518518518519,54
scoop,11,1,27
scoop,25,0.9253731343283582,67
scrabble,25,1,1
seagull,3,0.6666666666666666,6
seagull,4,1,2
seagull,5,0.8333333333333334,6
seagull,6,1,1
seagull,7,0.7857142857142857,13
seagull,8,0.8,35
seagull,9,0.8857142857142857,70
seagull,10,0.9473684210526315,38
seagull,11,0.8571428571428571,21
seagull,25,1,62
ship,3,1,3
ship,4,0.6666666666666666,3
ship,5,0.5,4
ship,7,0.8888888888888888,9
ship,8,0.9166666666666666,48
ship,9,0.8813559322033898,59
ship,10,0.9777777777777777,45
ship,11,1,21
ship,25,0.9726027397260274,73
shower,3,0.75,4
shower,4,1,2
shower,5,1,7
shower,6,0.7142857142857143,7
shower,7,0.875,8
shower,8,0.9574468085106383,47
shower,9,0.9565217391304348,46
shower,10,0.9666666666666667,60
shower,11,0.9583333333333334,24
shower,25,0.9857142857142858,70
silverware,3,0,1
silverware,4,0.3333333333333333,3
silverware,5,0.8,5
silverware,6,0.3333333333333333,3
silverware,7,0.42857142857142855,7
silverware,8,0.717391304347826,46
silverware,9,0.78125,64
silverware,10,0.7659574468085106,47
silverware,11,0.8947368421052632,19
silverware,25,0.984375,64
sink,3,1,2
sink,4,1,1
sink,5,0.6666666666666666,3
sink,6,1,5
sink,7,1,13
sink,8,0.851063829787234,47
sink,9,0.9701492537313433,67
sink,10,1,41
sink,11,0.9444444444444444,18
sink,25,0.9661016949152542,59
ski,3,0.75,4
ski,4,1,1
ski,5,1,4
ski,6,0.6666666666666666,3
ski,7,0.7368421052631579,18
ski,8,0.9117647058823529,34
ski,9,0.9558823529411765,68
ski,10,0.9795918367346939,49
ski,11,0.8888888888888888,9
ski,25,1,73
sloth,3,1,4
sloth,4,1,2
sloth,5,1,1
sloth,6,1,3
sloth,7,0.8571428571428571,14
sloth,8,0.9285714285714286,42
sloth,9,0.864406779661017,59
sloth,10,0.9761904761904762,42
sloth,11,0.8571428571428571,14
sloth,25,0.9705882352941176,68
snail,3,0.75,4
snail,4,1,1
snail,5,1,7
snail,6,1,10
snail,7,1,14
snail,8,0.8431372549019608,51
snail,9,0.9014084507042254,71
snail,10,0.8979591836734694,49
snail,11,0.8214285714285714,28
snail,25,0.9848484848484849,66
sorbet,3,0.25,4
sorbet,4,1,3
sorbet,5,0.6666666666666666,6
sorbet,6,0.5,4
sorbet,7,0.7894736842105263,19
sorbet,8,0.8409090909090909,44
sorbet,9,0.8431372549019608,51
sorbet,10,0.9038461538461539,52
sorbet,11,0.7777777777777778,18
sorbet,25,0.9516129032258065,62
spatula,3,0.4,5
spatula,4,0.8333333333333334,6
spatula,5,0.25,4
spatula,6,0.8,5
spatula,7,0.8461538461538461,13
spatula,8,0.5,42
spatula,9,0.68,75
spatula,10,0.819672131147541,61
spatula,11,0.75,20
spatula,25,0.9491525423728814,59
sprinkler,3,1,4
sprinkler,4,1,1
sprinkler,5,0.8,5
sprinkler,6,1,3
sprinkler,7,0.8333333333333334,12
sprinkler,8,0.8333333333333334,42
sprinkler,9,0.8857142857142857,70
sprinkler,10,0.8421052631578947,38
sprinkler,11,0.9259259259259259,27
sprinkler,25,0.9242424242424242,66
squash,3,0.3333333333333333,6
squash,4,1,1
squash,5,1,3
squash,6,1,4
squash,7,0.8461538461538461,13
squash,8,0.9302325581395349,43
squash,9,0.8857142857142857,70
squash,10,0.9230769230769231,52
squash,11,0.9444444444444444,18
squash,25,0.9594594594594594,74
squirrel,3,1,6
squirrel,4,0.75,4
squirrel,5,1,4
squirrel,6,1,4
squirrel,7,0.9230769230769231,13
squirrel,8,0.9523809523809523,42
squirrel,9,0.9565217391304348,46
squirrel,10,0.9583333333333334,48
squirrel,11,1,24
squirrel,25,0.9705882352941176,68
stew,3,0.5,4
stew,4,0.5,2
stew,5,0.4,5
stew,6,1,4
stew,7,0.7,10
stew,8,0.5769230769230769,52
stew,9,0.4927536231884058,69
stew,10,0.5681818181818182,44
stew,11,0.75,24
stew,25,0.9354838709677419,62
stretcher,3,1,1
stretcher,4,0.2857142857142857,7
stretcher,5,0.5,6
stretcher,6,1,4
stretcher,7,0.9230769230769231,13
stretcher,8,0.8723404255319149,47
stretcher,9,0.8888888888888888,54
stretcher,10,0.8636363636363636,44
stretcher,11,0.8823529411764706,17
stretcher,25,1,61
stump,3,0.6,5
stump,4,1,3
stump,5,1,3
stump,6,1,4
stump,7,0.6923076923076923,13
stump,8,0.7560975609756098,41
stump,9,0.8135593220338984,58
stump,10,0.7906976744186046,43
stump,11,0.6666666666666666,27
stump,25,0.9701492537313433,67
sunflower,3,0.8,5
sunflower,4,1,4
sunflower,5,1,4
sunflower,6,1,6
sunflower,7,0.9230769230769231,13
sunflower,8,1,39
sunflower,9,0.9649122807017544,57
sunflower,10,0.967741935483871,31
sunflower,11,0.9375,16
sunflower,25,1,71
swordfish,3,0.16666666666666666,6
swordfish,4,0,4
swordfish,5,0.4,5
swordfish,6,0.5,4
swordfish,7,0.75,8
swordfish,8,0.4782608695652174,46
swordfish,9,0.5833333333333334,72
swordfish,10,0.6333333333333333,60
swordfish,11,0.6818181818181818,22
swordfish,25,0.8888888888888888,81
taillight,3,0.2857142857142857,7
taillight,4,1,4
taillight,5,0.6666666666666666,3
taillight,6,0.6,5
taillight,7,0.8461538461538461,13
taillight,8,0.6388888888888888,36
taillight,9,0.7241379310344828,58
taillight,10,0.8269230769230769,52
taillight,11,0.8064516129032258,31
taillight,25,0.9365079365079365,63
tapestry,3,0.3333333333333333,9
tapestry,4,0.5,2
